article_id,label
World Nuclear::at-iaea-conference-nuclear-industry-says-it-is-re.txt,Neutral
World Nuclear::barriers-to-nuclear-generation-must-be-removed.txt,Neutral
World Nuclear::iea-says-nuclear-is-needed-to-achieve-sustainable.txt,Neutral
World Nuclear::invest-in-nuclear-to-succeed-in-the-post-covid-rec.txt,Neutral
World Nuclear::new-reports-highlight-nuclear-power-as-a-key-pilla.txt,Neutral
World Nuclear::nuclear’s-contribution-to-global-climate-change-mi.txt,Neutral
World Nuclear::resilient-nuclear-generation-ensures-reliable-elec.txt,Neutral
World Nuclear::tripling-global-nuclear-energy-by-2050-within-reach-if-governments-act-now.txt,Neutral
World Nuclear::policies-on-nuclear-plant-are-failing-the-environm.txt,Neutral
World Nuclear::new-outlookreportfindsgovernments-nuclear-energyambitionexceeds-tripling-goal-for-2050.txt,Neutral
World Nuclear::1000-gigawatts-of-new-nuclear-capacity-will-suppor.txt,Positive
World Nuclear::action-is-needed-to-expand-the-share-of-nuclear.txt,Positive
World Nuclear::asia-needs-nuclear-energy-to-supply-clean-and-reli.txt,Positive
World Nuclear::climate-leaders-need-nuclear-energy-to-achieve-net.txt,Positive
World Nuclear::energizing-development-clean-air-and-energy-transition.txt,Positive
"ANS::From Capitol Hill Nuclear is back, critical for America’s energy future.txt",Positive
World Nuclear::global-trade-tensions-understanding-the-impact-of-tariffs-on-the-nuclear-industry.txt,Positive
World Nuclear::india-energyweek-2026-indias-acceleration-towards-newnuclear-energy-capacity.txt,Positive
World Nuclear::swiss-nuclear-referendum-result-is-pro-science-and.txt,Positive
World Nuclear::nuclear-energy-is-the-fast-track-to-decarbonizatio.txt,Positive
ANS::On moving fast and breaking things.txt,Positive
World Nuclear::nuclear-must-be-part-of-the-international-response.txt,Positive
World Nuclear::g7-pledges-to-accelerate-progress-on-nuclear-for-d.txt,Positive
World Nuclear::world-nuclear-association-issues-joint-communique-at-roadmaps-to-new-nuclear-19-september-2024.txt,Positive
World Nuclear::global-nuclear-industry-gathers-in-poland-to-mobilize-2tn-supply-chain-opportunity.txt,Positive
World Nuclear::statement-from-world-nuclear-association-on-recent.txt,Positive
World Nuclear::bringing-global-ambition-to-theadvanced-reactors-summitxiii.txt,Positive
World Nuclear::﻿world-nuclear-performance-report-2019-launched.txt,Positive
World Nuclear::world-nuclear-supply-chain-2025-what-to-expect-who-to-watch.txt,Positive
World Nuclear::world-nuclear-performance-report-2024-highlights-increase-in-global-reactor-generation-performance-20-august-2024.txt,Positive
World Nuclear::austrian-nuclear-objection-undermines-right-of-ene.txt,Negative
World Nuclear::combatting-climate-change-faster-with-new-nuclear.txt,Negative
"ANS::Constellation, Meta sign 20-year deal to source entire Illinois nuclear plant’s power.txt",Negative
World Nuclear::cop-22-must-enable-paris-agreement-objectives-to-b.txt,Negative
ANS::Deep Isolation asks states to include waste disposal in their nuclear strategy.txt,Negative
"ANS::Delivering new nuclear on time, the first time.txt",Negative
"ANS::FPoliSolutions demonstrates RISE, an RIPB systems engineering tool.txt",Negative
World Nuclear::governments-recovery-programmes-should-invest-in-n.txt,Negative
World Nuclear::iea-nuclear-generation-to-double-to-meet-sustainab.txt,Negative
ANS::NNSA to conduct NEPA review of plutonium pit production.txt,Negative
ANS::Nuclear advocates fight potential cuts at DOE’s Loan Programs Office.txt,Negative
ANS::The RAIN scale A good intention that falls short.txt,Negative
World Nuclear::nuclear-generation-increases-for-fifth-successive.txt,Negative
World Nuclear::new-report-nuclear-power-economics-and-project-str.txt,Negative
World Nuclear::markets-must-recognise-energy-benefits.txt,Negative
World Nuclear::nuclear-key-to-a-clean-energy-future-iea-world-ene.txt,Negative
World Nuclear::world-nuclear-association-calls-for-all-hazards-ap.txt,Negative
World Nuclear::world-nuclear-performance-to-be-highlighted-at-ann.txt,Negative
World Nuclear::world-nuclear-performance-report-2023-highlights-n.txt,Negative
World Nuclear::world-nuclear-association-response-to-the-internat.txt,Negative
